Subject,Number,Description,Credit Hours
NPRE,457,Basic safety philosophy in nuclear reactor systems; brief review of nuclear reactor systems; regulatory processes; siting considerations; safety problems related to reactor dynamics; evaluation of postulated accidents; risks associated with nuclear fuel cycle; methods of systems safety analysis. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: NPRE 402 or NPRE 247.,3 OR 4 hours.
NPRE,458,"Design in nuclear, plasma, and radiological engineering systems; basic principles of definition, organization, constraints, modeling and optimization of system design; case studies; class design projects applying these basic principles. 4 undergraduate hours. 4 graduate hours. Prerequisite: NPRE 448.",4 hours.
NPRE,470,"The role of hydrogen as a global energy form, hydrogen production by nuclear, fossil and renewable energy sources; hydrogen handling, safety; transportation and storage methods including high-pressure, cryogenic, metal hydrides and chemical hydrides; basic science and technology of fuel cells, including electrochemical processes; fuel cell thermodynamics; low- and high-temperature fuel cells; applications including portable electronics, automotive vehicles, distributed and back-up power, and space power. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHEM 102, MATH 285, and PHYS 212.",3 hours.
NPRE,475,"Overview of wind energy systems; historical development, safety aspect, environmental considerations, wind properties and measurement, site selection, and wind turbine design; transmission systems considerations; mechanical, electrical, control aerodynamic and environmental engineering of modern wind turbines; fatigue failure; annual power production; economics and environmental aspects and accident prevention and mitigation; computational fluid dynamics (CFD) analysis of wind flow and blade interactions; energy storage options; hydrogen production; electrical power transmission issues; licensing issues; alternative wind energy systems; design project involving a wind farm or the construction of a specific type of wind turbine based on a wind park site visit. 3 undergraduate hours. 4 graduate hours. Prerequisite: CS 101, MATH 241; one of CHBE 421, ECE 110, ECE 205, ME 310, TAM 335.",3 OR 4 hours.
NPRE,480,"Security and supplies of energy, mineral resources, and water. Evolution of the importance of various fuels in conflicts (including coal, oil, uranium, and natural gas) starting with the Franco-Prussian Wars. Theories of international conflict and examination of the role of individual leaders versus institutional factors in the precipitation and outcome of pivotal wars. Econometric analyses relevant to past and projected future energy use. Same as GLBL 480 and PS 480. 3 undergraduate hours. 3 graduate hours. Prerequisite: Composition I and Quantitative Reasoning I.",3 hours.
NPRE,481,"Development of writing skills in standard computer, desktop publishing, and electronic publishing formats. On themes such as, global and regional security environments, arms control, nuclear energy, and climate change. For graduate credit, writing projects include documentation of computational work using software appropriate for typesetting of mathematical formulas. Same as GLBL 481. 3 undergraduate hours. 3 or 4 graduate hours. 4 graduate hours with consent of instructor.",3 OR 4 hours.
NPRE,483,Preparation of reports on a set of introductory lectures and student choices from various on-campus seminar series relevant to technology of domestic and international security and the regional and international contexts that influence the nature of security problems. Same as GLBL 483. 1 undergraduate hour. 1 graduate hour. May be repeated in separate terms to a maximum of 2 hours. Prerequisite: Composition I.,1 hours.
NPRE,521,"Topics in the interaction of radiation with matter of interest to the nuclear engineering field: the kinematics, kinetics, and cross sections involved in the interaction of charged particles, electromagnetic radiation, and neutrons. Prerequisite: NPRE 446.",4 hours.
NRES,100,"Introduction to environmental sciences and current environment issues. Topics include population growth, world food supplies, agriculture and the environment, biodiversity, fossil fuels and ""green"" energy issues, endangered and threatened species, water use, conservation and pollution, global warming, acid rain, ozone depletion, waste management and reduction, recycling, toxins and health, mineral resources, and environmental policies and regulations. Course addresses the complex relationships between the human race and the natural systems that contain our air, water, energy, and biotic and food resources. Credit is not given for both NRES 100 and NRES 102.",3 hours.
NRES,101,"An introduction to the conservation, diversity and ecology of animals. The diversity of fish, reptiles, amphibians, mammals, and birds both around the world and in Illinois will be explored. The course will have a strong conservation component where students are introduced to a variety of threats facing animals. The students will be introduced to how to manage sustainable wildlife populations. The students will be exposed to current issues in Illinois to illustrate how people and animals can co-occur and a broad overview of the management, restoration, and conservation techniques.",3 hours.
NRES,102,"Introduction to natural resources (forests, fisheries, soils, aquatic systems) and environmental science. Emphasizes renewable natural resources, ecological concepts, energy use, biodiversity of species, biogeochemical cycles, and air, water, and soil pollution. Provides natural science basis for understanding contemporary environmental issues and natural resource management. Credit is not given for both NRES 100 and NRES 102.",3 hours.
NRES,103,"Introduction to the ecology of freshwater systems, viewed through the lens of the Great Lakes and associated tributaries. The Great Lakes hold 20% of the world's freshwater and 95% of the freshwater in North America. They have sustained human and wildlife populations for at least 10,000 years. Now, the integrity of this unique and priceless resource is threatened as never before. This eight-week online course will enhance student understanding of the ecology of this imperiled system, as well as the historical events and policies that have led to the present crisis, and the men and women who have played key roles in this unfolding story.",3 hours.
NRES,105,"Examines the response of ecological systems to climate change by drawing on multiple lines of evidence from the past and present. Topics include species range shifts, timing of biological events, ecosystem function, and feedbacks. The implications for conservation, as well as approaches to mitigating and adapting to climate change, are also explored. Computer-based exercises are used to enhance quantitative reasoning skills and build climate and ecological literacy. Online only.",3 hours.
NRES,201,"The nature and properties of soil including origin, formation, and biological, chemical, and physical aspects. Prerequisite: Successful completion of MATH 115, MATH 234, or equivalent and CHEM 102 is required. CHEM 104 is recommended.",4 hours.
NRES,219,"The principles of ecosystem management are based in ecology, which is the branch of science that explores how organisms interact with their environment. In this course, students will learn about ecological principles that are the foundation for understanding biological systems on many different levels of organization. Topics include abiotic influences on organisms, energy acquisition, population ecology, species interactions, biological communities, and ecosystem ecology. Particular attention is given to integrating these basic principles into a better understanding of ecology in a world that is increasingly dominated by human activities. Completion of a prior course in biology, zoology, or botany is recommended.",3 hours.
NRES,285,"Field based course that exposes students to procedures and methods used in various resource settings in a hands-on manner. Includes weekly field trips to visit representative natural resource and environmental science settings with supporting laboratory exercises. Content of offerings vary by section, but all focus on resource management, environmental quality and assessment, and effects of consumption and use on the environment. Field trips required. Additional fees may apply. See Class Schedule. May be repeated in the same or subsequent semesters to a maximum of 6 hours. Prerequisite: NRES 201 and NRES 219.",1 OR 2 hours.
NRES,287,"Examination of the relationship between environment and society and implications for ecological and human well-being. Social science perspective covered on topics such as environmental change, environmental decision-making, natural resource management, agricultural systems, and environmental risks, hazards, and disasters. Students will build critical thinking skills focused on contemporary problems in the interface between people and the physical environment. Same as ESE 287, GEOG 287, and PS 273. Prerequisite: NRES 102 and sophomore or higher standing. Introductory social science course recommended.",3 hours.
NRES,302,"Emphasizes nomenclature, classification, and the distinguishing morphological characteristics of the native and naturalized tree species of North America. Introduces disciplines related to the systematics of tree species, including: morphology, physiology, phenology, ecology, soil-site relationships, silviculture, geographic range and natural distribution, wood characteristics, economic uses, and natural history (including major diseases and insect pests). Incorporates tree and forest habitats that provide cover, breeding sites, and food for a variety of wildlife species. Serves as a basis for studies in natural resources management, environmental science, and for advanced studies of botany, genetics, and tree physiology. Field trips required. Additional fees may apply. See Class Schedule. Prerequisite: IB 103.",4 hours.
NRES,325,"Explores policy processes and institutions relating to allocation, utilization, and preservation of natural resources. Considers conceptual models of policy processes, and examines both historical examples and current issues. Prerequisite: ECON 102 or ACE 100.",3 hours.
NRES,348,"Application of ecological principles and modeling to management of fish and wildlife populations; significance of abiotic and biotic factors, including life-history parameters in population growth and management; and techniques and procedures for the development of management strategies for animal populations, emphasizing vertebrates. A course in statistics is highly recommended. Same as IB 348. Prerequisite: IB 203 or NRES 219.",3 hours.
NRES,362,"Focused on the ecology and management of biological invasions, with an emphasis on understanding the introduction, establishment, spread and impact stages of the invasion process. Students will identify the causes and impacts of biological invasions, as well as management strategies for preventing new invasions and mitigating impacts of established invaders in freshwater, marine, and terrestrial ecosystems. No special equipment will be required, and any optional, weekend field trips will occur on campus. Prerequisite: NRES 219 or similar introductory course in ecology.",3 hours.
NRES,401,"Precipitation, evapotranspiration, stream flow, and other aspects of the hydrologic cycle are studied in a watershed context. Measurement techniques, statistical analyses of hydrologic data, and simulation modeling are discussed. Case studies that quantify water movement in specific watersheds are used to integrate course topics. Same as GEOG 401. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHEM 102, completion of the Quantitative Reasoning I requirement, and completion of the statistics requirement.",3 hours.
NRES,407,"This course includes the application of principles of population biology to the analysis, management, and conservation of wildlife populations, models of population growth, spatio-temporal variation in abundances, estimation of demographic parameters and methods of decision-making. 4 undergraduate hours. 4 graduate hours. Prerequisite: NRES 348. One semester of calculus or statistics is recommended.",4 hours.
NRES,418,"Wetlands are important ecosystems that support high biodiversity and provide numerous benefits to society. This course provides a comprehensive examination of wetland science, management, and governance. Lectures, readings and class discussions will focus on the structure and processes of wetland ecosystems, wetland biota, wetland conservation and management, and U.S. and international wetland policies. Special emphasis will be placed on the application of wetland science to policy and restoration. Offered in alternate years. 3 undergraduate hours. 3 graduate hours. Prerequisite: NRES 201 and NRES 219, or consent of instructor.",3 hours.
NRES,419,"Wetlands are important ecosystems that support high biodiversity and provide numerous benefits to society. This course provides a comprehensive examination of wetland science, management, and governance. Lectures, readings and class discussions will focus on the structure and processes of wetland ecosystems, wetland biota, wetland conservation and management, and U.S. and international wetland policies. Special emphasis will be placed on the application of wetland science to policy and restoration. Offered in alternate years. 3 undergraduate hours. 3 graduate hours. Prerequisite: NRES 201 and NRES 219, or consent of instructor.",3 hours.
NRES,420,"Historical development of ecological restoration, its philosophical foundation, multi-disciplinary borrowings from the natural, applied, and social sciences, and varied practical applications, with emphasis on the application of ecological principles. Case studies, field trips, and laboratory activities on restoration planning. Field trip required. Additional fees may apply. See Class Schedule. 4 undergraduate hours. 4 graduate hours. Prerequisite: NRES 219 or LA 450.",4 hours.
NRES,421,"Explores the fundamental principles, procedures, and practices that underlie the most common statistical and sampling methods used in natural resources and environmental sciences. This course covers hypothesis testing, regression, and analysis of variance. There is also a strong focus on sampling theory and experimental design. Computer labs utilize the open source R statistical computing environment. 3 undergraduate hours. 3 graduate hours. Prerequisite: One of MATH 220, MATH 221, MATH 234; completion of the statistics requirement.",3 hours.
NRES,424,"In the course students will: (a) write about the roles that race, class, and other social differences play in shaping human-environment relationships, (b) understand the role of the Environmental Protection Agency in considering environmental justice in policy, and (3) identify ways that policies for ecological sustainability can be configured to improve the equity of environmental and natural resource decision-making. 4 undergraduate hours. 4 graduate hours. Prerequisite: Junior class standing.",4 hours.
NRES,429,"Application of the principles of aquatic ecology to a broad range of conservation issues. The structure and function of aquatic systems are discussed from an ecosystem perspective, including the major threats and disturbances to aquatic ecosystems. 3 undergraduate hours. 3 graduate hours. Prerequisite: CHEM 102 and PHYS 101 or PHYS 140, and  MATH 220 or MATH 221 or MATH 234, and IB 203 or NRES 219.",3 hours.
NRES,454,"Geographic Information Systems (GIS) and remote sensing for natural resource management. Personal computers and GIS software are used to demonstrate the utility of these techniques for data acquisition, image processing, and map modeling. Exercises include problems relevant to the management of natural resources such as land cover mapping, monitoring, suitability and productivity assessment, landscape pattern analysis, land use change analysis, spatial modeling, and decision making. 4 undergraduate hours. 4 graduate hours.",4 hours.
NRES,456,"Examines ecological and human dimensions of ecosystem management, with a strong emphasis on national and international case studies. Capstone course for seniors in the NRES major. Additional fees may apply. See Class Schedule. 3 undergraduate hours. 3 graduate hours. Prerequisite: Senior standing; NRES 219 and NRES 287.",3 hours.
NRES,465,"Geographic Information Systems (GIS) and remote sensing for natural resource management. Personal computers and GIS software are used to demonstrate the utility of these techniques for data acquisition, image processing, and map modeling. Exercises include problems relevant to the management of natural resources such as land cover mapping, monitoring, suitability and productivity assessment, landscape pattern analysis, land use change analysis, spatial modeling, and decision making. 4 undergraduate hours. 4 graduate hours.",4 hours.
NRES,472,"Theory and research in environmental psychology. Topics include environmental perception, cognition, experience, values and emotion, perceived environmental quality, environmental hazards and risk perception, and conservation attitudes and behavior. Same as PSYC 472. 4 undergraduate hours. 4 graduate hours. Prerequisite: Jr. standing: PSYC 100 or PSYC 103.",4 hours.
NRES,474,"Application of principles of soil conservation and management to the solution of land-use problems; influence of soil characteristics on erosion control, cropping intensity, water management, and land-use planning. Includes a field trip. Additional fees may apply. See Class Schedule. 3 undergraduate hours. 3 graduate hours. Prerequisite: NRES 201.",3 hours.
NRES,475,"Introduction to the diversity of microbial populations and their important role in environmental processes in air, water, soils, and sediments. Microbial community ecology and interactions with plants and animals will also be discussed. Students will learn how microbial activities sustain natural ecosystems and contribute to environmental quality, and also how these functions are harnessed to support managed and artificial systems. Molecular biology techniques for investigating microbial communities and their activities will also be discussed. 3 undergraduate hours. 3 graduate hours. Prerequisite: NRES 201 and CHEM 104.",3 hours.
NRES,488,"Provides a broad-based understanding of the basic principles of soil fertility and their application. Coverage includes the occurrence, cycling, and plant availability of the essential mineral nutrients in soils; fertilizer sources, soil reactions, and efficiency; evaluating fertilizer and lime needs; methods of fertilizer application; and the economics of fertilization. Same as CPSC 488. 3 undergraduate hours. 3 graduate hours. Prerequisite: NRES 201.",3 hours.
NRES,499,Experimental course on a special topic in natural resources and environmental sciences. Additional fees may apply. See Class Schedule. 1 to 4 undergraduate hours. 1 to 4 graduate hours. Approved for both letter and S/U grading. May be repeated in the same or separate terms to a maximum of 12 hours as topics vary.,1 TO 4 hours.
NRES,593,"Focuses on statistical methods used to analyze ecological data. Includes application of general and generalized linear models including use of several probability distributions such as normal, binomial, Poisson, and negative binomial. Course also focuses on mixed models and approaches for imposing structure onto the variance-covariance matrix to account for non-independence or heterogeneous variance. Emphasis throughout is on evaluating and presenting results using both traditional (p-value) and information-theoretic (AIC) approaches. 4 graduate hours. No professional credit. Prerequisite: At least one course in ecology, including basic concepts of population and community ecology, and at least one course in statistics, including basic concepts of sampling, hypothesis testing, and techniques such as t-tests, linear regression, and ANOVA (e.g., CPSC/NRES 440 or equivalent). Graduate standing or permission of instructor required.",4 hours.
NS,303,"Leadership and Management is a study of organizational behavior and management with an emphasis on situational leadership. Students will explore a variety of leadership and management topics including the classical theories of management, motivation, and communication to help prepare students for leadership challenges in any environment and any industry. Prerequisite: No prerequisite for non-NROTC students.",3 hours.
NUTR,510,Series of one-third term intensive courses on current topics in nutritional sciences research. Same as ANSC 525 and FSHN 510. May be repeated in the same term to a maximum of 3 hours. Prerequisite: Advanced Biochemistry.,1 hours.
NUTR,511,"Biochemical and molecular regulatory mechanisms of macronutrient metabolism under various physiological conditions in mammalian species, including humans. Same as ANSC 521 and FSHN 511. 4 graduate hours. No professional credit. Prerequisite: MCB 450, MCB 244, MCB 246 and FSHN 426/ANSC 520 (or equivalent courses in biochemistry, physiology and nutrition). Second year graduate standing or above, or consent of instructor.",4 hours.
PATH,433,"Emphasizes basic principles of virus structure and replication, virus-cell interactions and virus-host interactions that underlie the molecular biology, pathogenesis, and transmission of viral disease. Same as MCB 433. 3 undergraduate hours. 3 graduate hours. Prerequisite: MCB 300 or MCB 354, or consent of instructor.",3 hours.
PATH,439,"Students use spatial technologies and data to address issues of health. Topics include disease outbreak surveillance and response, environmental factors such as climate and socio-economic context, and the medical and other data needed to spatial analysis of health information. Application-based learning and class lectures are complemented by readings, guest lectures and class discussions. Geographic information system and global positioning system use is covered with examples drawn from public and veterinary health. Same as GEOG 439 and CHLH 439. 3 undergraduate hours. 3 graduate hours. Approved for letter and S/U grading. Prerequisite: An introductory statistics course such as ACE 261, CHLH 244, ECON 202, GEOG 280 or equivalent.",3 hours.
PHIL,100,"Consideration of some main problems of philosophy concerning, for example, knowledge, God, mind and body, and human freedom. Course is identical to PHIL 101 except for the additional writing component. Credit is not given for both PHIL 100 and PHIL 101. Prerequisite: Completion of campus Composition I general education requirement.",3 hours.
PHIL,101,"Consideration of some main problems of philosophy concerning, for example, knowledge, God, mind and body, and human freedom. Credit is not given for both PHIL 101 and PHIL 100.",3 hours.
PHIL,102,"Practical study of logical reasoning; techniques for analyzing and criticizing arguments, with emphasis on assessing the logical coherence of what we read and write.",3 hours.
PHIL,103,"Introductory logic course that concentrates on investigating how the formal mathematical structure of statements, as well as the structure of the relationships among such statements, reveals the logical force of arguments that we use everyday. PHIL 102 takes a less formal, less mathematical approach to the same material. Credit is not given for both PHIL 103 and PHIL 102.",3 hours.
PHIL,104,"Some basic questions of ethics, discussed in the light of influential ethical theories and with reference to specific moral problems, such as: What makes an action morally right? Are moral standards absolute or relative? What is relation between personal morality and social morality, and between social morality and law? Course is identical to PHIL 105 except for the additional writing component. Credit is not given for both PHIL 104 and either PHIL 105 or PHIL 106. Prerequisite: Completion of campus Composition I general education requirement.",3 hours.
PHIL,107,"Introduction to core ideas in political and legal philosophy, for example, rights, equality, political obligations, legitimacy of states, nationalism, and oppression.",3 hours.
PHIL,202,"Practical study of logical reasoning; techniques for analyzing and criticizing arguments, with emphasis on assessing the logical coherence of what we read and write.",3 hours.
PHIL,203,"Introduction to ancient philosophy, concentrating on Plato and Aristotle, dealing with such topics as metaphysics, ethics, and the theory of knowledge. Same as CLCV 203.",4 hours.
PHIL,206,"The history of philosophy from Descartes to Kant, concentrating on such topics as metaphysics, ethics, and the theory of knowledge.",4 hours.
PHIL,210,"Problems in ethical theory; the nature of right and wrong, justice, conscience, moral feelings, etc.",3 hours.
PHIL,214,"Philosophical study of selected moral and social problems concerning medicine and biology, such as euthanasia, abortion, allocation of scarce medical resources, health care and rights, and genetic engineering.",3 hours.
PHIL,222,"Introduction to certain ideas and issues at the intersection of computer science and philosophy. Students will focus on foundational questions related to the birth of computer science as a discipline, philosophical issues regarding knowledge and reality that researchers face in the frontiers of contemporary computer science, and current ethical issues related to the uses of machines and computers in society.",3 hours.
PHIL,223,"Introduction to certain ideas and issues at the intersection of computer science and philosophy. Students will focus on the nature of human minds and brains in light of what we know about machine “minds” and “hardware” (and vice versa), as well as on philosophical considerations of the societal effects and implications of the rise of intelligent machines.",3 hours.
PHIL,250,Comparative examination of important historical and contemporary conceptions of human nature.,3 hours.
PHIL,380,"Philosophical examination of positions taken on some issue of current concern, for example, human sexuality, death and dying, feminism, race, intelligence, war, sociobiology, and environmental ethics. See Class Schedule for current topics. May be repeated with approval.",3 hours.
PHIL,411,"Examination of the thought of such major figures as Hegel, Marx, and Nietzsche. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One course in philosophy.",3 OR 4 hours.
PHIL,414,"Intensive study of one or two important philosophers of the present century, e.g., Wittgenstein, Dewey, Heidegger, or Quine. Topics vary; see Class Schedule. 3 undergraduate hours. 3 or 4 graduate hours. May be repeated with approval, if topics vary. Prerequisite: One course in philosophy.",3 OR 4 hours.
PHIL,421,"Systematic study of selected classics in moral philosophy by such philosophers as Aristotle, Hume, Mill, Kant, and Nietzsche. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One course in philosophy.",3 OR 4 hours.
PHIL,425,Philosophical problems arising in connection with mental phenomena; the relation of mind and body; free will and determinism; our knowledge of other minds; and the self and personal identity. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One course in philosophy.,3 OR 4 hours.
PHIL,426,"Investigation of various metaphysical issues concerning, for example, existence, particulars and universals, causation, laws of nature, time, personal identity, material objects, and modality. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One course in philosophy.",3 OR 4 hours.
PHIL,430,"Investigation of issues concerning, for example, the nature and possibility of knowledge; its forms and limits; its relation to belief, truth, and justification; and the nature of truth. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One course in philosophy.",3 OR 4 hours.
PHIL,435,"Selected topics from the nature of social organization, nature and convention, utility, justice, equality, liberty, rights, and duties. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One course in philosophy.",3 OR 4 hours.
PHIL,436,"Examination of issues in the philosophy of law, such as the nature of law, law and morality, justice, liberty and authority, punishment, and legal responsibility. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One course in philosophy.",3 OR 4 hours.
PHIL,438,Historical or comparative study of the philosophy of language. Same as LING 438. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: One course in philosophy.,3 OR 4 hours.
PHIL,454,"Completeness, compactness, and Lowenheim-Skolem theorems for first-order logic; incompleteness and undecidability of formal systems; and additional material on proof theory, model theory, or axiomatic set theory as time permits. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: PHIL 202 or consent of instructor.",3 OR 4 hours.
PHIL,477,"Psychology, broadly construed, is a cluster of disciplines devoted to the study of mind and behavior, including cognitive and developmental psychology, neuroscience, and artificial intelligence. Investigates the relationships that these disciplines bear to one another and of their overall potential to resolve age-old philosophical questions about the mind. Same as PSYC 477. 3 undergraduate hours. 4 graduate hours. Prerequisite: Two courses in philosophy or two courses in psychology or consent of instructor.",3 OR 4 hours.
PHYS,100,Conceptual and problem solving skills in preparation for PHYS 211: --analysis and mathematical descriptions of physical situations --understanding the meaning of the solutions Prerequisite: Credit or concurrent registration in MATH 220 or MATH 221.,2 hours.
PHYS,101,"Newton's Laws, work and energy, rotational motion, fluids, thermodynamics, and waves. A noncalculus-based approach for majors in the life sciences, preprofessional health programs, agriculture, and veterinary medicine. Credit is not given for both PHYS 101 and either PHYS 211 or PHYS 213. Prerequisite: Trigonometry.",5 hours.
PHYS,102,"Electric forces and fields, electric potential, electric circuits, magnetic forces and fields, geometrical optics, relativity,  and modern physics. A noncalculus-based approach for majors in the life sciences, preprofessional health programs, agriculture, and veterinary medicine. Credit is not given for both PHYS 102 and either PHYS 212 or PHYS 214. Prerequisite: PHYS 101.",5 hours.
PHYS,123,"Inquiry-based, nonmathematical, hands-on study of physics for elementary school teachers. Coverage of most of the National Science Education K-4 Content Standards. Additional fees may apply. See Class Schedule.",3 hours.
PHYS,211,"Newton's Laws, work and energy, static properties and fluids, oscillations, transverse waves, systems of particles, and rotations. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Credit is not given for both PHYS 211 and PHYS 101. Prerequisite: Credit or concurrent registration in MATH 231.",4 hours.
PHYS,212,"Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",4 hours.
PHYS,213,"First and second laws of thermodynamics including kinetic theory of gases, heat capacity, heat engines, introduction to entropy and statistical mechanics, and introduction to application of free energy and Boltzmann factor. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Credit is not given for both PHYS 213 and PHYS 101. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",2 hours.
PHYS,214,"Interference and diffraction, photons and matter waves, the Bohr atom, uncertainty principle, and wave mechanics. A calculus-based course for majors in engineering, mathematics, physics, and chemistry. Credit is not given for both PHYS 214 and PHYS 102. Prerequisite: PHYS 212.",2 hours.
PHYS,225,"Theory of Special Relativity, with applications to kinematics and dynamics. Key mathematical methods as they apply to aspects of electromagnetic theory and classical mechanics, including vector analysis, series expansions, matrices, Fourier analysis, partial differentiation, three-dimensional calculus, and simple differential equations. Prerequisite: Credit or concurrent registration in PHYS 212.",2 hours.
PHYS,280,"Nontechnical analysis of the physics of nuclear weapons, nuclear weapon effects, delivery systems, and defenses against nuclear attack; presentation of current issues; basis for making informed judgments about nuclear armaments and arms control. Same as GLBL 280.",3 hours.
PHYS,298,"Topical offerings of technical interest, skills, and knowledge in physics, and its practice, intended to augment the existing curriculum at the introductory level. Approved for Letter and S/U grading. May be repeated in separate terms up to 12 credit hours if topics vary. Prerequisite: See Class Schedule or departmental course information for topics and prerequisites. For students with freshman or sophomore standing.",0 TO 4 hours.
PHYS,325,"Kinematics and dynamics of classical systems, including a review of Newtonian kinematics and dynamics. Three dimensional motion, variable mass, and conservation laws; damped and periodically driven oscillations; gravitational potential of extended objects and motion in rotating frames of reference; Lagrangian and Hamiltonian mechanics. Prerequisite: PHYS 225; credit or concurrent registration in MATH 285 or MATH 286.",3 hours.
PHYS,326,"Continuation of PHYS 325. Central force motion, collisions and scattering, rotational motion, coupled oscillations, continuous media, and fluid dynamics. Prerequisite: PHYS 325.",3 hours.
PHYS,398,"Topical offerings of technical interest, skills, and knowledge in physics, and its practice, intended to augment the existing curriculum at the intermediate level. Approved for Letter and S/U grading. May be repeated in separate terms up to 12 hours if topics vary. Prerequisite: See Class Schedule or departmental course information for topics and prerequisites. For students with sophomore or junior standing.",1 TO 4 hours.
PHYS,401,"Experiments and techniques in classical mechanics and electromagnetism. Dynamics of electrical and mechanical oscillators in the linear domain. Fourier analysis of system response. Measurements of electrostatic fields, transmission lines, waves, and radiation. Electromagnetic phenomena in dielectrics, conductors, and magnetic materials. Instruction in data analysis and report writing. 3 undergraduate hours. 3 graduate hours. Prerequisite: PHYS 325; credit or concurrent enrollment in PHYS 435 or ECE 329.",3 hours.
PHYS,402,"Wave kinematics; geometrical optics: basic concepts, ray-tracing and matrix formalism, Gaussian imaging by thick lenses, stops, apertures, and intensity relations; interference; interference spectroscopy and coherence; diffraction: Fresnel-Kirchhoff formulation, Fraunhofer case, Fresnel case, and holography; polarized light. 4 undergraduate hours. 3 or 4 graduate hours. (3 hours without lab). Prerequisite: PHYS 214 and PHYS 435 or ECE 329.",3 or 4 hours.
PHYS,403,"Techniques and experiments in the physics of atoms, atomic nuclei, molecules, the solid state, and other areas of modern physical research. 5 undergraduate hours. 4 graduate hours. Prerequisite: Credit or concurrent registration in PHYS 486.",4 OR 5 hours.
PHYS,404,"Physics of semiconductor devices; theory and application of discrete and integrated devices in linear circuits; use of operational amplifiers and feedback; regulation, oscillators, and modulation; emphasizes practical experience. 5 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 325.",4 or 5 hours.
PHYS,419,Identical to PHYS 420 except for the additional writing component including a final term paper. Same as PHIL 419. 3 undergraduate hours. 4 graduate hours. Credit is not given for both PHYS 419 and PHYS 420. Prerequisite: PHIL 101; PHYS 101 or PHYS 211.,3 OR 4 hours.
PHYS,427,"Equilibrium thermodynamics, statistical mechanics, and kinetic theory of gases. A unified treatment is used in that the principles of heat and thermodynamics are discussed along with statistical postulates and the microscopic approach of introductory quantum mechanics. 4 undergraduate hours. 4 graduate hours. Credit is not given for both PHYS 427 and any of ME 404, CHEM 444, MSE 500. Prerequisite: PHYS 213, PHYS 214, and PHYS 435 or ECE 329.",4 hours.
PHYS,435,"Static electric and magnetic fields, their interactions with electric charge and current, and their transformation properties; the effect of special relativity is incorporated. Macroscopic fields in material media are described. 3 undergraduate hours. 3 graduate hours. Prerequisite: MATH 285; credit for PHYS 325. Concurrent enrollment in MATH 415.",3 hours.
PHYS,436,"Time-dependent fields. Electromagnetic induction, Maxwell's equations, electromagnetic wave propagation in various media and structures, and electromagnetic radiation from charge and current distributions. Relativistic covariance of Maxwell's equations.  undergraduate hours. 3 graduate hours. Prerequisite: PHYS 435.",3 hours.
PHYS,460,"Bonding and structure of crystals; energy bands in insulators, semiconductors, and metals; electrical conductivity; optical properties; lattice vibrations; elasticity; point defects; dislocations. 4 undergraduate hours. 4 graduate hours. Credit is not given for both PHYS 460 and MSE 304. Prerequisite: PHYS 435; PHYS 485 or PHYS 486.",4 hours.
PHYS,470,"The nature and properties of nuclei and elementary particles, symmetries, interactions, nuclear models, tools and techniques of experimental subatomic physics, and applications to power generation, astrophysics, chemistry, medicine, and biology. 4 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 485 or PHYS 486.",4 hours.
PHYS,485,Basic concepts of quantum theory which underlie modern theories of the properties of materials; elements of atomic and nuclear theory; kinetic theory and statistical mechanics; quantum theory and simple applications; atomic spectra and atomic structure; molecular structure and chemical binding. 3 undergraduate hours. 3 graduate hours. Credit is not given for both PHYS 485 and CHEM 442. Prerequisite: MATH 285 and PHYS 214.,3 hours.
PHYS,486,"Atomic phenomena integrated with an introduction to quantum theory; evidence for the atomic nature of matter and the properties of the Schrodinger equation, single particle solutions in one dimension, the hydrogen atom, perturbation theory, external fields, and atomic spectroscopy of outer electrons. 4 undergraduate hours. 4 graduate hours. Prerequisite: PHYS 214 and PHYS 435 or ECE 329.",4 hours.
